institution-id,institution-name,institution-url
63741,University of Toledo,http://www.utoledo.edu
60172,College of the Holy Cross,http://www.holycross.edu
61465,Goshen College,http://www.goshen.edu
61494,Gustavus Adolphus College,http://gustavus.edu
120027,Idaho State University,https://www.isu.edu/
60281,University of California-Santa Cruz,http://www.ucsc.edu
62010,Landmark College,http://www.landmark.edu
120126,Virginia Commonwealth University,https://www.vcu.edu/
60636,Bridgewater State University,http://www.bridgew.edu
63764,University of Wyoming,http://www.uwyo.edu
120219,Auburn University Samuel Ginn College of Engineering,https://www.eng.auburn.edu/
62606,Norwich University,http://www.norwich.edu
59852,Brandeis University,http://www.brandeis.edu
63324,Tennessee State University,http://www.tnstate.edu
63760,University of Wisconsin-Stevens Point,http://www.uwsp.edu
60955,Colorado College,http://www.coloradocollege.edu
61467,Governors State University,http://www.govst.edu
63227,St. Mary's University,http://www.stmarytx.edu
59989,University of California-Santa Barbara,http://www.ucsb.edu
63613,University of Pennsylvania,http://www.upenn.edu
59995,University of New England,http://www.une.edu
63580,University of Massachusetts Dartmouth,http://www.umassd.edu
59985,University of California-Irvine,http://www.uci.edu
61595,Hofstra University,http://www.hofstra.edu
63578,University of Massachusetts Amherst,http://www.umass.edu
63872,Wayne State University,http://www.wayne.edu
60771,Case Western Reserve University,http://case.edu
61219,Edinboro University of Pennsylvania,http://www.edinboro.edu
63753,University of Wisconsin-La Crosse,http://www.uwlax.edu
60492,Auburn University,http://www.auburn.edu
59908,Indiana University-Bloomington,http://www.iub.edu
60731,California University of Pennsylvania,http://www.calu.edu
61405,Gannon University,http://www.gannon.edu
62383,Morgan State University,http://www.morgan.edu
63755,University of Wisconsin-Milwaukee,http://www.uwm.edu
120114,Fusion Academy,https://www.fusionacademy.com/
120190,The American University in Cairo,https://www.aucegypt.edu
61649,Indiana University of Pennsylvania,http://www.iup.edu
63867,Waukesha County Technical College,http://www.wctc.edu
62233,Mercy College,http://www.mercy.edu
60219,Pepperdine University,http://www.pepperdine.edu
62063,Liberty University,http://www.liberty.edu
59988,University of California-San Diego,http://www.ucsd.edu
62877,Rensselaer Polytechnic Institute,http://www.rpi.edu
63763,University of Wisconsin-Whitewater,http://www.uww.edu
120060,University of Mount Union,http://www.mountunion.edu
120207,Averett University,https://www.averett.edu
63883,West Chester University of Pennsylvania,http://www.wcupa.edu
60302,University of San Francisco,http://www.usfca.edu
119939,Mount Carmel College of Nursing ,https://www.mccn.edu/
59986,"University of California, Merced",http://www.ucmerced.edu
63092,Slippery Rock University of Pennsylvania,http://www.sru.edu
60212,Oregon State University,http://www.oregonstate.edu
60278,"University of California, Los Angeles",http://www.ucla.edu
60773,Castleton University  ,http://www.castleton.edu
63581,University of Massachusetts Lowell,http://www.uml.edu
63421,The University of the Arts,http://www.uarts.edu
60231,Rollins College,http://www.rollins.edu
60199,Missouri State University,http://www.missouristate.edu
120073,Emory University,http://emory.edu
63583,University of Memphis,http://www.memphis.edu
63894,West Texas A & M University,http://www.wtamu.edu
63494,United States Air Force Academy,http://www.usafa.edu
120117,Claremont Colleges,http://www.claremont.edu/
109075,Johns Hopkins University,https://www.jhu.edu/
67038,Columbia University,http://www.columbia.edu/
64032,Harvard College,http://www.harvard.edu
62806,Princeton University,http://www.princeton.edu
61072,Dartmouth College,http://www.dartmouth.edu
60018,Yale University,http://www.yale.edu
60004,Vanderbilt University,http://www.vanderbilt.edu
60211,Northeastern University,http://www.northeastern.edu
60288,University of Minnesota-Twin Cities,https://twin-cities.umn.edu/
63282,University at Albany,http://www.albany.edu
59943,The Ohio State University-Columbus,http://www.osu.edu
64036,Pennsylvania State University - University Park,http://www.psu.edu
61236,Embry-Riddle Aeronautical University-Daytona Beach,http://daytonabeach.erau.edu
59971,Syracuse University,http://www.syr.edu
63560,University of Kentucky,http://www.uky.edu
59882,Florida Atlantic University,http://www.fau.edu
64048,Tel Aviv University,http://international.tau.ac.il
59975,Texas Tech University,http://www.ttu.edu
60007,United States Military Academy - West Point,http://www.westpoint.edu
59940,Ohio University-Main,http://www.ohio.edu
59968,Stony Brook University,http://www.stonybrook.edu
59993,University of North Carolina at Wilmington,http://www.uncw.edu
59887,Fordham University,http://www.fordham.edu
59960,Skidmore College,http://www.skidmore.edu
60022,Youngstown State University,http://www.web.ysu.edu
59974,Towson University,http://www.towson.edu
60013,William Paterson University of New Jersey,http://www.wpunj.edu
59979,University of Arkansas,http://www.uark.edu
59848,Bentley University,http://www.bentley.edu
59996,University of New Haven,http://www.newhaven.edu
59896,University of Hartford,http://www.hartford.edu
62202,Massachusetts College of Art and Design,http://massart.edu
62959,St Louis Community College,http://www.stlcc.edu
60845,Cheyney University of Pennsylvania,http://www.cheyney.edu
63761,University of Wisconsin-Stout,http://www.uwstout.edu
63758,University of Wisconsin-Platteville,http://www.uwplatt.edu
60746,Cape Fear Community College,http://www.cfcc.edu
63752,University of Wisconsin-Green Bay,http://www.uwgb.edu
62554,Northeastern Illinois University,http://www.neiu.edu
62567,Northern Virginia Community College,http://www.nvcc.edu
63065,Shelton State Community College,http://www.sheltonstate.edu
60971,Columbia College (SC),http://www.columbiasc.edu
62412,Muhlenberg College,http://www.muhlenberg.edu
60101,"University of California, Berkeley",http://www.berkeley.edu
63759,University of Wisconsin-River Falls,http://www.uwrf.edu
62088,Lincoln Memorial University,http://www.lmunet.edu
62097,Lindenwood University,http://www.lindenwood.edu
62467,Nazareth College,http://www.naz.edu
62522,North Carolina Central University,http://www.nccu.edu
62597,Northwestern Michigan College,http://www.nmc.edu
62633,Ohio Northern University,http://www.onu.edu
62797,WVU Potomac State College,http://www.potomacstatecollege.edu
62932,Rutgers University-Newark,http://www.rutgers.edu
63157,Southern Oregon University,http://www.sou.edu
63220,St. Mary's College of Maryland,http://www.smcm.edu
63544,University of Detroit Mercy,http://www.udmercy.edu
63595,University of Nebraska at Kearney,http://www.unk.edu
63707,University of Puget Sound,http://www.pugetsound.edu
63731,University of Southern Maine,http://usm.maine.edu
63835,Virginia Wesleyan University,http://www.vwu.edu
63861,Washington College,http://www.washcoll.edu
63923,Westfield State University,http://www.westfield.ma.edu
63925,Westminster College (MO),http://www.westminster-mo.edu
59863,Chatham University,http://www.chatham.edu
59884,Ferris State University,http://www.ferris.edu
59892,Grand Rapids Community College,http://www.grcc.edu
59953,College of the Rockies,http://www.cotr.bc.ca
59970,Schenectady County Community College,http://www.sunysccc.edu
59991,University of Minnesota-Morris,http://www.morris.umn.edu
59992,University of Northern Colorado,http://www.unco.edu
60363,Aims Community College,http://www.aims.edu
60679,Brown University,http://www.brown.edu
60785,Centenary University,http://www.centenaryuniversity.edu
60798,Central Connecticut State University,http://www2.ccsu.edu
61148,Dillard University,http://www.dillard.edu
61195,Eastern Mennonite University,http://www.emu.edu
61221,Edison State Community College,http://www.edisonohio.edu
61316,Fayetteville State University,http://www.uncfsu.edu
61422,Georgetown University,http://www.georgetown.edu
61887,Judson University,http://www.judsonu.edu
60016,West Virginia University,http://www.wvu.edu
62738,Pennsylvania State University-Erie-Behrend College,http://www.psbehrend.psu.edu
62802,Prescott College,http://www.prescott.edu
62930,Rutgers University-Camden,http://www.rutgers.edu
59866,Colgate University,http://www.colgate.edu
60006,Western Colorado University,http://www.western.edu
60009,William Peace University,http://www.peace.edu
59913,University of Kansas,http://www.ku.edu
60251,St. John's College MD,http://www.sjca.edu
62675,Otis College of Art and Design,http://www.otis.edu
61309,Farmingdale State College,http://www.farmingdale.edu
61330,Florida Agricultural and Mechanical University,http://www.famu.edu
60202,Montana State University,http://www.montana.edu
63476,Truckee Meadows Community College,http://www.tmcc.edu
61115,DePaul University,http://www.depaul.edu
62610,Nova Southeastern University,http://www.nova.edu
61628,Husson University,http://www.husson.edu
63541,University of Dayton,http://www.udayton.edu
63610,University of Northwestern Ohio,http://www.unoh.edu
60437,Appalachian State University,http://www.appstate.edu
63708,University of Redlands,http://www.redlands.edu
61169,Duquesne University,http://www.duq.edu
62942,St. Bonaventure University,http://www.sbu.edu
61439,Georgian Court University,http://georgian.edu
59933,Niagara College,http://www.niagaracollege.ca
60305,The University of Texas at Austin,http://www.utexas.edu
62378,Moravian University,http://www.moravian.edu
60743,Canisius College,http://www.canisius.edu
62673,Orleans Technical College,http://orleanstech.edu
63415,The University of Texas at Dallas,http://www.utdallas.edu
59861,Columbia College (MO),http://www.ccis.edu
60960,Colorado State University-Fort Collins,http://www.colostate.edu
62656,Oklahoma State University-Main,http://www.okstate.edu
63040,SCAD,http://www.scad.edu
