,location-id,location-name,institution-id,institution-name,institution-url,stops
11,141497,Bridgewater State University,60636,Bridgewater State University,http://www.bridgew.edu,"['Rondileau Student Union', 'Maxwell Library and Academic Achievement Center', 'DMF Science & Mathematics Center', 'Equity and Social Justice', 'East Campus', 'East Campus Commons', 'Top-Notch Support', '2021 Student Life', 'MBTA stop', '2021 Student Health & Wellness', '2021 Explore the Region', 'Athletics and Recreation', 'Education and BSU', 'Kelly Gymnasium', 'College of Graduate Studies', 'Food at BSU', 'West Campus', '2021 Food at BSU', 'Residence Life', 'Welcome Center', 'Ricciardi College of Business', '2021 Career Services', 'Cutting Edge Programs', 'Alumni Involvement']"
12,80230,University of California- Santa Cruz,60281,University of California-Santa Cruz,http://www.ucsc.edu,"['Campus Entrance', 'Welcome / Quarry Plaza', 'Quarry Plaza', 'Long Marine Lab', 'Arboretum', 'Alumni Network', 'Cowell College', 'Resource Centers', 'Academic Resource Center', 'Humanities', 'The Farm', 'Merrill College', 'SOE Auditorium', 'Social Sciences Building', 'College Nine', 'Physical Sciences Building', 'Social Sciences', 'Science Library', 'Hahn Student Services', 'Dining Hall', 'Health, Safety, & Student Support', 'School of Engineering', 'Physical & Biological Sciences', 'Coastal Science Campus', 'Porter College', 'Rachel Carson College', 'Oakes College', 'The Arts', 'McHenry Library', 'Athletics & Recreation']"
13,140217,Landmark College,62010,Landmark College,http://www.landmark.edu,"['Welcome', 'MacFarlane', 'MacFarlane—LCIRT', 'Library', 'Staircase', 'East Academic Building', 'Fine Arts Building', 'Strauch Center', 'Drake Field', 'Click Center', 'Dining Hall', 'Residence Hall—Frost Hall', 'Residence Hall—Bridges', 'Southern Vermont ', 'Olivier Admissions Building', '2021 Lewis Academic Building', '2021 Woodlands', 'Woodlands', '2021 Southern Vermont']"
14,142523,St. Mary's University,63227,St. Mary's University,http://www.stmarytx.edu,"['St. Louis Hall', '2021 St. Louis Hall', 'The Quad', '2021 The Quad', 'Barrett Memorial Bell Tower', '2021 Barrett Memorial Bell Tower', 'Assumption Chapel', '2021 Assumption Chapel', 'Biology Lab', '2021 Biology Lab', 'Engineering Lab', '2021 Engineering Lab', '2021 Drone Lab', 'Cotrell Learning Commons', '2021 Cotrell Learning Commons', 'Alkek Plaza', '2021 Rattler Success Center', 'Alkek Business Building', '2021 Alkek Plaza', 'University Center', '2021 Alkek Business Building', ""The Village at St. Mary's"", '2021 University Center', '2021 Esports Arena', 'Founders Hall', '2021 Humanities', 'Najim Center for Innovation', 'Alumni Athletics & Convocation Center', 'Fitness Center', ""2021 The Village at St. Mary's"", '2021 Residence Life', 'Dickson Baseball Stadium', ""2021 The Park at St. Mary's"", 'Softball Stadium', '2021 Fitness Center', 'Sigma Beta Chi Soccer Field', 'School of Law Courtroom', '2021 Law Success Center', 'Law Library Learning Commons']"
15,141762,Tennessee State University,63324,Tennessee State University,http://www.tnstate.edu,"['Floyd Payne Campus Center', 'Library', 'Research and Sponsored Programs', 'Avon Williams', 'Lawson Hall', 'Clement Hall (Dental Hygiene Building)', 'Performing Arts Center', 'Hale and Rudolph Dorms', 'Holland Hall', 'Jackson Hall', 'Amphitheater', 'LRC - Student Success Center/Distinguished Faculty and Staff', 'Shuttle Stop', 'Dining Services/Main Café', 'Game Room/Lower Level of Student Center', 'Gentry Center Complex']"
16,142647,UMass Dartmouth,63580,University of Massachusetts Dartmouth,http://www.umassd.edu,"['The Grove', '2020 v1 Welcome Center ', '2020 v1 Bloomberg Terminals', '2020 v1 Library Living Room', 'First-year Quad', '2020 v1 Library Study Space', '2020 v1 Engineering Classroom (SENG)', '2020 v1 Nursing Assessment Lab (DION)', '2020 v1 Liberal Arts Learning Commons', '2020 v1 CVPA Campus Gallery', 'Spruce Community Kitchen', '2020 v1 Birch Grill', '2020 v1 Fitness Center', 'Spruce 170', 'Spruce Bathroom', 'Spruce Lounge area 1—2nd floor', 'Spruce Lounge area 2—2nd floor', 'Fitness Center', 'CVPA Atrium', 'CVPA Star Store', 'Main Quad', 'Library Living Room', 'Library Study Space', 'Charlton Learning Pavillion Atrium', 'Engineering Classroom (SENG)', 'Nursing Assessment Lab (DION)', 'LARTS by Ivy wall', 'Writing and Multiliteracy Center', 'Campus Center']"
17,142408,University of Pennsylvania,63613,University of Pennsylvania,http://www.upenn.edu,"['College Green', 'The College of Arts and Sciences', 'Fisher Fine Arts Library', 'Penn Engineering', 'Penn Park', 'Penn Museum', 'Hill Dining', 'School of Nursing', 'College Houses', 'Platt Student Performing Arts House', 'Coordinated Dual Degree Programs', 'The Arts, Research and Culture House (ARCH)', 'Locust Walk', 'The Wharton School', 'Kelly Writers House', 'Civic House', 'Philadelphia and Beyond']"
18,105266,University of Wisconsin-Stevens Point,63760,University of Wisconsin-Stevens Point,http://www.uwsp.edu,"['Welcome Center', 'Old Main', 'Student Services Center', 'Communication Arts Center', 'Dreyfus University Center', 'Delzell Hall', 'Albertson Hall', 'Trainer Natural Resources', 'Noel Fine Arts Center', 'Collins Classroom Center', 'College of Professional Studies', 'Science Building', 'Chemistry Biology Building', 'Allen Recreational Center', 'Marshfield Clinic Health System Champions Hall ', 'Neale Hall', 'DeBot Dining Center', 'Suites@201', 'Schmeeckle Reserve Visitor Center', 'Waste Education Center', 'UW-Stevens Point at Wausau', 'UW-Stevens Point at Marshfield', 'Lake Joanis']"
19,141245,Colorado College,60955,Colorado College,http://www.coloradocollege.edu,"['Tava Quad', 'Cutler Hall Admission Office', 'Worner Campus Center', 'Adam Press Fitness Center', 'The Preserve Cafe', 'El Diente Upperclassmen Apartments', 'Tutt Library', 'Palmer Hall for Social Sciences', 'Tutt Science Center', 'Hybl Community Center', 'Lennox House for Multi-Cultural Programming', 'Ahlberg Outdoor Education Center & Annex', 'Cornerstone Arts Center', 'Colorado Springs Fine Arts Center at Colorado College', 'Downtown Colorado Springs ', 'CC Cabin']"
20,140818,Governors State University,61467,Governors State University,http://www.govst.edu,"['Welcome', 'Student Central', 'DLMD', 'Library', 'Technology and Computer Science', 'Writing Center', 'Career Services', 'Center for Performing Arts', 'Environmental and Life Sciences', 'Arts and Humanities', 'Health and Human Services', 'Honors Program', 'Health and Student Counseling Center', 'Athletics and Recreation Center', 'Prairie Place', 'Education and Psychology', 'Goodman Malamuth Technology Building']"
21,141853,UC Irvine,59985,University of California-Irvine,http://www.uci.edu,"['ALDRICH PARK', 'STUDENT CENTER TERRACE', 'ANTEATER PLAZA', 'UNIVERSITY CENTER', 'THE PAUL MERAGE SCHOOL OF BUSINESS', 'SOCIAL SCIENCE TOWER', 'THE HENRY SAMUELI SCHOOL OF ENGINEERING', 'INFINITY FOUNTAIN', 'SCIENCE LIBRARY', 'ANTEATER LEARNING PAVILION', 'SCHOOL OF HUMANITIES', 'SCHOOL OF THE ARTS', 'MESA TOWERS', 'ANTEATER RECREATION CENTER', 'CRAWFORD FIELD', 'NEWPORT BEACH']"
22,80248,UNE Biddeford,59995,University of New England,http://www.une.edu,"['Welcome ', 'Admissions', 'Welcome Cottage-Admissions', 'University Commons', 'Bush Center', 'Ketchum Library', 'Barbara J. Hazard Athletic Fields', 'Harold Alfond Forum', 'Ripich Commons', 'Jordan Point', 'Featherman Residence Hall', 'The Quad', 'East and West Residence Halls', 'Champlain Residence Hall', 'Girard Marine Science Center', 'Freddy Beach', 'Campus Center', 'Alfond Center for Health Sciences', 'Stella Maris Hall', 'Pickus Center', 'Leonard Hall', 'Decary Hall', 'Alfond Forum', 'Athletics Fields', 'Sokokis Hall', 'Morgane Hall', 'Marcil Hall', 'Petts Student Health Center', 'Creative and Fine Arts', 'Alumni Cottage']"
